soc,cognit,yrsqual,size,female,male,immi,usborn,white,nonwhite
Professional and management,578.74,15.62,1052,0.49,0.51,0.13,0.87,0.76,0.24
Other occupations,500.46,12.34,916,0.37,0.63,0.18,0.82,0.68,0.32
